food_name,quantity,unit,protein_g,carbs_g,fat_g,calories
Chicken Fried Rice,1,cup,6.29,21.12,6.04,166
White and Wild Rice,1,cup,2.17,20.64,2.12,112
"Brown Rice (Medium-Grain, Cooked)",100,g,2.32,23.51,0.83,112
Macaroni and Cheese (Diet Frozen Meal),1,meal,6.19,17.01,3.94,130
Macaroni or Noodles with Cheese (Boxed Mix with Cheese Sauce),1,cup,7.04,25.02,5.34,178
Butternut Squash Risotto,100,g,4,31,1,143
Gnocchi Alla Sorrentina,100,g,8,39,3,220
Cheese Filled Ravioli with Meat Sauce,1,cup,7.02,14.02,6.37,142
Whole Grain Brown Rice Mix Multigrain Pilaf,100,g,5,42,4.5,230
Paella,1,cup,9.52,16.68,5.44,158
Lasagna with Meat and Spinach,1,piece,9.43,16.16,5.57,152
Meat Filled Ravioli,1,cup,12.58,17.36,7.43,191
Instant White Rice,1,cup,2.16,24.87,0.5,116
Asparagus Risotto,100,g,4,24,4.5,150
Macaroni and Cheese Entree (Canned),1,serving,3.38,11.52,2.46,82
Brown Rice,1,cup,2.56,22.78,0.89,110
Cheese Gnocchi,1,cup,9.32,8.58,11.83,179
Rice Pilaf,1,cup,2.07,21.57,3.24,125
Mediterranean Curry Couscous Mix,100,g,7,40,4,220
Meatless Lasagna,1,piece,7.76,19.18,4.45,147
Spinach Macaroni,1,cup,4.86,27.24,0.57,135
Rice Noodles (Cooked),1,cup,0.91,24.9,0.2,109
Fried Rice,1,cup,6.3,21.06,6.23,168
Spaghetti with Tomato Sauce and Meatballs,1,cup,7.22,18.62,5.4,153
Corn Grits Polenta,100,g,3,27,0.5,140
Shrimp Fried Rice,1,cup,5.53,21.15,5.86,162
Lasagna with Meat,1,piece,9.96,17.2,6.01,163
Cheese Filled Tortellini,1,cup,10.38,36.15,5.56,236
Ravioli (No Sauce),1,cup,10.79,19.04,7.18,188
Vegetable Macaroni,1,cup,4.52,26.55,0.11,128
Organic Mushroom & Onion Polenta,100,g,2,19,0,90
Whole Wheat Macaroni,100,g,5.3,26.38,0.54,123
Potato Gnocchi,1,cup,2.36,17.04,6.24,133
Italian Classics Mini Gnocchi with Potato,100,g,5,60,0,260
Arugula Lettuce,1,cup,2.58,3.65,0.66,25
Low Sodium Carrots (Canned),1,cup,0.58,5.31,1.61,36
"Potatoes (Flesh, with Salt, Boiled)",1,cup,1.87,20.13,0.1,87
Hawaii Mountain Yam,1,cup,1.34,16.31,0.1,67
Brussels Sprouts,100,g,3.38,8.95,0.3,43
Lettuce,1,cup,0.9,2.97,0.14,14
Brussels Sprouts (Frozen),100,g,3.78,7.86,0.41,41
Baked Potato Stuffed with Bacon and Cheese (Peel Eaten),1,medium,5.57,18.27,6.44,151
Green Peas,1,cup,5.42,14.46,0.4,81
Mixed Vegetables (Frozen),100,g,3.33,13.46,0.52,64
Sweet Cucumber Pickle,100,g,0.37,31.81,0.26,117
Mashed Potatoes (Whole Milk and Butter Added),1,cup,1.87,16.77,4.22,113
Bell Peppers,100,g,0.99,6.03,0.3,26
Sweet Baby Supremes Baby Cut Carrots,100,g,1,8,0,35
Creamed Parsnips,1,cup,2.43,13.48,4.88,104
Pickles,1,medium,0.62,4.12,0.19,18
"Succotash (Corn and Limas) (Cream Style, Canned)",1,cup,2.64,17.61,0.54,77
Okra (Frozen),100,g,1.69,6.63,0.25,30
Snow or Sugar Snap Peas,10,pea,2.8,7.55,0.2,42
Peeled Baby-cut Carrots,100,g,1,7,0,30
Minced Garlic,100,g,0,1,0,5
Jalapeno Peppers,1,pepper,1.35,5.91,0.62,30
Cooked Okra (Canned),1,cup,1.81,4.44,2.4,41
Black Olives,1,small,0.88,6.06,9.54,105
"Cooked Lima and Corn Beans (Succotash, Fat Added in Cooking)",1,cup,4.18,19.38,2.97,109
"Soybeans (Mature Seeds, Steamed, Cooked)",1,cup,8.47,6.53,4.45,81
"Zucchini (with Salt, Drained, Cooked, Boiled)",1,cup,0.64,3.93,0.05,16
Cooked Summer Squash,1,cup,0.89,4.22,2.29,37
"Succotash (Corn and Limas) (Solids and Liquids, Whole Kernel Corn, Canned)",1,cup,2.6,13.98,0.49,63
"Yellow Sweet Corn (Kernels On Cob, Without Salt, Frozen, Drained, Cooked, Boiled)",1,ear,3.11,22.33,0.74,93
Cooked Soybeans (Fat Not Added in Cooking),100,g,16.54,9.87,8.92,172
Chinese Cherry Tomatoes,100,g,1.12,4.8,0.2,22
Succotash,1,cup,4.29,19.84,0.88,92
